id,registration_number,model,brand,color,max_speed,seating_capacity,year_of_manufacture
1574,NO3046AY,C70,Mercury,Орхідея,131,37,2017
1575,BE3594CE,Odyssey,Kia,Циннвальдит,259,46,1990
1576,IA6372XB,350Z,Ford,Ясно-лазуровий (веб),202,40,1907
1577,XS0401AI,Grand Vitara,Volkswagen,Світло-синій,284,28,1919
1578,SM1400MI,Eclipse,Ford,Фуксія,235,42,1994
1579,BT5943MK,LFA,Ford,Перський синій,213,7,1928
1580,TK7029MK,Riviera,BMW,Старе золото,215,3,2004
1581,EM2351IA,Escalade ESV,Kia,Темно-каштановий,199,34,1994
1582,KI7471PC,Rodeo,Volvo,Помаранчево-рожевий,167,43,1939
1583,AR5172AT,Silhouette,Lincoln,Аквамариновий,166,2,1947
1584,EI4606IE,Cayenne,Ford,Ліловий,286,35,1946
1585,BB1642PC,F250 Super Duty Super Cab,FIAT,Малиновий,265,31,2011
1586,NX4250MM,GTI (New),BMW,Помаранчево-персиковий,290,16,2018
1587,AC7682BR,TSX,Nissan,Помаранчево-персиковий,235,20,1944
1588,AO8168EX,Optima,Chevrolet,Кукурудзяний,185,1,2008
1589,AA3360ET,Caravan Cargo,Chevrolet,Золотий,149,36,1907
1590,ED9573BL,Range Rover,Nissan,Брунато-малиновий,202,16,1991
1591,KX4088AA,Town Car,Ford,Червоновато-брунатний,112,38,1936
1592,KI0420XM,Accord,smart,Темно-брунатний,196,21,1902
1593,XI3031HN,Sedona,BMW,Зелена весна,295,50,1970
1594,AK6487PB,Silverado 3500 Crew Cab,Chevrolet,Амарантово-рожевий,244,38,1987
1595,PD4038BB,Ram 3500 Regular Cab,Toyota,Зелене море,200,48,1903
1596,AK3333MP,Hardtop 2 Door,Honda,Бістр,227,35,1916
1597,IA2220OO,928,GMC,Візантійський,180,15,1893
1598,EE4406MX,Monte Carlo,GMC,Малахітовий,134,38,1976
1599,BO8831HX,Jetta,Volvo,Жовто-персиковий,132,28,1920
1600,NK4520OT,1500 Crew Cab,Ford,Синя сталь,139,33,1906
1601,BK2148EI,SLX,GMC,Каштановий,176,28,1909
1602,TM5790PE,S4,Chevrolet,Індиго,278,2,1891
1603,MH4864EA,RX-7,Ram,Спаржевий,256,12,1955
1604,AO2482EK,Santa Fe XL,Dodge,Опівнічно-синій,268,15,1909
1605,SE9717BR,RC,Chevrolet,Лляний,204,50,1895
1606,IA8751KP,Thunderbird,Chevrolet,Помаранчевий,119,37,1963
1607,XO5206KB,MAZDA6,BMW,Зелений армійський,253,12,1940
1608,ME9862EC,Clarity Electric,Mercedes-Benz,Блакитний,228,19,1902
1609,XS1053OP,MAZDA3,GMC,Чорний,154,33,1904
1610,NI5153TM,LaCrosse,Kia,Орхідея,145,42,1916
1611,MI9484MC,RAV4,MAZDA,Лавандний,297,33,2009
1612,NT5745MI,599 GTB Fiorano,Isuzu,Мандариновий,181,45,1961
1613,MI1761OE,4 Series,Nissan,Ніжно-оливковий,281,34,1950
1614,TS3715TK,Murano,Mercury,Темний індиго,255,4,1902
1615,AM4451HO,Volt,Mercedes-Benz,Червоно-буро-помаранчевий,158,33,1901
1616,XO2759TK,Pathfinder,Chevrolet,Блідо-карміновий,247,45,1908
1617,XO1407TM,GranSport,Lexus,Міжнародний помаранчевий,206,13,1996
1618,MR2509OE,Express 3500 Passenger,GMC,Мідний,202,31,1952
1619,XE9926AO,Xterra,Porsche,Андроїдний зелений,183,45,1948
1620,AI9568BP,S70,Cadillac,Цинамоновий,109,33,1951
1621,AX6926MB,Explorer,Buick,Темно-бірюзовий,219,18,1904
1622,NE1915KA,Tracker,Hyundai,Королівський синій,234,37,2020
1623,KO4365IP,Quattro,Ford,Сливовий,153,41,1949
1624,XO5233EB,Xtra Cab,Chevrolet,Темно-золотий,182,22,2007
1625,KA9005AZ,Escalade EXT,Dodge,Іржавий,215,15,2003
1626,ET5075MA,Silverado 1500 Regular Cab,Toyota,Лазурово-синій,236,36,1931
1627,ON7732KM,EX,Porsche,Сіра спаржа,280,41,2016
1628,BS2545KO,S80,Audi,Пурпурний,112,22,1980
1629,KK0599OA,Neon,Nissan,Сапфіровий,184,38,1960
1630,MO1187ET,Sprinter 2500 Crew,Chrysler,Мандариновий,124,19,1932
1631,NA0232AI,Focus,Toyota,Золотий,149,16,1978
1632,XE9753AO,5 Series,Hyundai,Колір морської хвилі,246,12,1925
1633,AN2435MX,Taurus,Ford,Вода пляжа Бонді,226,40,1948
1634,TA7794PB,Optima,Volkswagen,Фіолетовий,107,50,1915
1635,NI8637TC,cube,Mercedes-Benz,Темно-мандариновий,201,13,2012
1636,OK9241TM,Ranger Super Cab,Cadillac,Бурий,158,3,1908
1637,KM9497AA,Silhouette,Ford,Цинамоновий,148,44,1887
1638,BM2897MB,Boxster,Jaguar,Амарантово-рожевий,294,26,1943
1639,AB0668II,Sequoia,Dodge,Кремовий,205,17,1980
1640,RX1167XE,M6,Chevrolet,Міжнародний помаранчевий,139,28,2009
1641,XT0508KN,Renegade,Volvo,Бежевий,231,21,1957
1642,EK6142KP,Transit 150 Van,Jeep,Палена сіена,249,25,1909
1643,RV5990IN,Rainier,Dodge,Темно-золотий,141,34,1999
1644,MI4273CP,Ram 1500 Crew Cab,Cadillac,Ясно-лазуровий (веб),119,21,1948
1645,SA1623XK,F150 Regular Cab,Dodge,Болотний,286,8,1972
1646,KO0003HP,G-Series G30,Land Rover,Персиковий,293,48,2010
1647,EN2338CI,Ram Van 3500,Dodge,Бронзовий,181,33,1939
1648,AB0239TO,S4,Hyundai,Зелена весна,139,41,1976
1649,XE8846PT,Civic,MAZDA,Темно-каштановий,299,13,1992
1650,KR9024KI,CX-9,Suzuki,Опівнічно-синій,203,47,2008
1651,RX2124MK,300,Mitsubishi,Перський синій,122,10,1929
1652,EV2796IM,2500 HD Regular Cab,Pontiac,Алізариновий червоний,152,25,2015
1653,AN3545HB,Captiva Sport,Ford,Лазуровий,207,1,1890
1654,RA6628MC,Ram Wagon 2500,MAZDA,Синя сталь,257,47,2020
1655,EO4491BB,S6,Ford,Бістр,104,50,1993
1656,EA8448XA,Trans Sport,Toyota,Яскраво-фіолетовий,152,42,1970
1657,OO6721PE,Voyager,Nissan,Гарбуз,282,46,1911
1658,RA4124KK,Dakota Club Cab,Ford,Кукурудзяний,228,45,2002
1659,AM2077BK,500e,Dodge,Колір засмаги,206,40,1999
1660,EM0716CM,GLE,MAZDA,Кремовий,173,1,1909
1661,EM7344II,E150 Cargo,Dodge,Мідний,245,7,1950
1662,KA2613EC,Forester,Ford,Алізариновий червоний,165,19,2018
1663,BO3919HP,Yukon XL 1500,BMW,Умбра,271,32,1914
1664,XN8014XK,Sequoia,Ford,Відбірний жовтий,203,4,2017
1665,ET8145KM,Swift,Hyundai,Темно-лазурний,271,39,1906
1666,RR7438MX,Escalade ESV,Lexus,Блідий рожево-ліловий,239,35,1969
1667,KC6673OM,Sonoma Club Coupe Cab,Isuzu,Фуксія,111,3,1888
1668,BM6291BH,New Beetle,Dodge,Малахітовий,293,48,1994
1669,BK9529CP,M,Saturn,Андроїдний зелений,107,37,2001
1670,XN4695IT,Regency,Lexus,Темно-персиковий,232,28,2007
1671,BB1121IN,Sienna,Isuzu,Салатовий,271,46,1896
1672,AM7944MP,GLE,Hyundai,Синій (пігмент),122,3,1982
1673,NN0523PN,Concorde,BMW,Мисливський,204,42,1954
1674,BX5010MK,Cayenne,Chevrolet,Іржавий,299,36,1897
1675,XE4568BE,F250 Super Cab,Ford,Блідо-пурпуровий,266,11,1933
1676,BS5940TO,Escort,Saturn,Синій ВПС,222,39,1996
1677,MI7501AK,MDX,Scion,Абрикосовий,148,34,1897
1678,TO1228EI,Corvette,Porsche,Хакі,230,41,1898
1679,RR0348OK,Safari Passenger,Pontiac,Темний весняно-зелений,141,37,1902
1680,NS2599MO,M5,Ram,Сиваво-зелений,104,44,1896
1681,XN0448OA,Quattroporte,BMW,Яскраво-зелений,117,28,1963
1682,IA0400BM,Mercedes-AMG GLE,Chrysler,Блідо-пісочний,296,30,1974
1683,NA6231MB,CL,INFINITI,Зеленувато-блакитний,183,23,1901
1684,AM7900KX,S-Type,Mercedes-Benz,Берлінська лазур,189,10,1979
1685,NA0131HP,GranTurismo,Dodge,Ніжно-блакитний,271,46,1898
1686,EN2557TU,MR2,GMC,Зелений чай,192,16,1999
1687,IV4170KA,S4,Pontiac,Зелене море,299,4,2014
1688,KE2001BI,Vantage,Chevrolet,Нефритовий,146,39,1973
1689,BI1242EN,Z4,Porsche,Ціан (колір),170,14,2011
1690,BS3146KK,Corsica,Buick,Ніжно-оливковий,231,28,1948
1691,TM2595PT,Taurus,Chevrolet,Рожевий Маунтбеттена,267,23,1972
1692,BK2799CM,Tacoma Xtracab,MINI,Діамантово-рожевий,261,47,1938
1693,SN9518TT,3500 Mega Cab,Nissan,Бірюзовий,257,45,1956
1694,OV9515IX,Veloster,Cadillac,Блідо-каштановий,249,11,1946
1695,BI3702BR,LSS,Subaru,Цинамоновий,276,22,1901
1696,NA4504OC,7 Series,Pontiac,Рожевий,282,33,1951
1697,AI2854ON,XJ,Ford,Сірий,258,30,2012
1698,AB6627HX,XK,Ram,Лососевий,198,34,2002
1699,MK1591OI,Galant,Hyundai,Малахітовий,209,6,1935
1700,XA7290BP,NV1500 Cargo,Hyundai,Лазуровий,126,37,1932
1701,AB0505EE,SL-Class,Honda,Синій ВПС,238,44,1905
1702,TA1381OT,Avalon,Ford,Персиковий,140,27,1927
1703,BI6925AO,F150 Super Cab,Buick,Сигнально-помаранчевий,286,9,1912
1704,XI8976HC,Grand Cherokee,MAZDA,Фуксія,209,41,1940
1705,AO1742KK,SVX,Nissan,Яскраво-бірюзовий,253,32,1902
1706,BT9884AM,3 Series,Dodge,Яскраво-зелений,248,16,1952
1707,KR4733EK,900,BMW,Срібний,154,1,1978
1708,TT4267PC,4 Series,Mitsubishi,Шкіра буйвола,225,42,1942
1709,MH8907MK,M3,Nissan,Сині яйця малинівки,243,5,1939
1710,XK3571CP,City Express,Mercedes-Benz,Колір засмаги,181,24,2011
1711,KE4033PB,Charger,Dodge,Амарантовий,146,25,1914
1712,OK9989BK,Tundra Double Cab,Mercury,Золотисто-каштановий,188,41,2006
1713,TM6624CO,MX-5 Miata,Daewoo,Блідо-каштановий,281,46,1999
1714,TM8481EI,718 Cayman,Nissan,Кораловий,179,4,1909
1715,SV1603HN,Grand Cherokee,Ford,Ясно-брунатний,210,32,1943
1716,AN0768EM,Azera,Ford,Персиковий,203,30,1931
1717,RR8234TI,E150 Super Duty Passenger,FIAT,Палений оранжевий,189,4,1938
1718,ET9436KO,Vantage,Chevrolet,Блідо-рожевий,273,45,1974
1719,PD1469XE,Clubman,Lexus,Блідо-рожевий,255,16,1998
1720,IA4141TK,Tracker,Chrysler,Кардинал (колір),284,18,1957
1721,NV5110HN,Aura,Volkswagen,Ціано-блакитний,270,41,1944
1722,TO6129BO,Venture Cargo,Chevrolet,Ясно-брунатний,181,48,1974
1723,AK3356HX,Escalade EXT,Chrysler,Пурпурний,261,12,1964
1724,TR4364BE,QX,Honda,Зелена весна,102,21,1923
1725,NA5067TZ,Impreza,BMW,Брунатний,125,13,1923
1726,KX0517EE,Metro,Ford,Кремовий,213,16,2011
1727,SN3705PX,Sierra 1500 Regular Cab,Chevrolet,Королівський синій,270,29,2012
1728,OV2209PB,F350 Crew Cab,Ram,Рожево-ліловий,241,20,1995
1729,ET6145OK,Savana 3500 Passenger,Suzuki,Срібний,213,31,1947
1730,KB6084OK,Pilot,MAZDA,Темний хакі,106,13,1925
1731,KM1519EP,SC,Chrysler,Бістр,223,45,1990
1732,DI7623PC,Ram Van 1500,Land Rover,Брунато-малиновий,259,24,1964
1733,NV3818CM,300M,Cadillac,Блакитно-зелений,267,42,1920
1734,SE5404AY,MKS,MAZDA,Темно-персиковий,243,27,1987
1735,NS8001OT,S60,Chevrolet,Червоно-буро-помаранчевий,291,14,1980
1736,MM8205XP,LS,Volvo,Блакитний Брандейса,136,33,1909
1737,MI2397OX,500,Chevrolet,Синій (пігмент),235,12,1992
1738,OO3843BI,Silverado 1500 Extended Cab,Nissan,Шафрановий,119,23,2006
1739,II1836KO,Lancer,Ford,Дерева,167,27,1964
1740,OX2160CX,Sierra (Classic) 2500 HD Regular Cab,MAZDA,Яскраво-зелений,277,11,1936
1741,IA5907IM,Impreza,Suzuki,Амарантово-рожевий,221,31,1932
1742,XE3714ON,Sentra,Jeep,Колір засмаги,147,15,1930
1743,KT9186CN,Optima Hybrid,INFINITI,Синій,131,11,1999
1744,NO1037AN,Ram 1500 Regular Cab,BMW,Морквяний,235,46,1890
1745,EI9523ET,Range Rover Sport,Ferrari,Захисний синій,231,37,1946
1746,EM8109AI,Land Cruiser,Suzuki,Грушевий,209,43,1903
1747,AK2831XK,Grand Am,Plymouth,Жовто-зелений,167,24,1980
1748,EO0426BX,Versa,Nissan,Пурпуровий,133,16,1975
1749,NT9259AE,BRZ,Chevrolet,Андроїдний зелений,162,40,1964
1750,PD9103OM,4C,Ford,Відбірний жовтий,169,8,1893
1751,BK9185II,Legacy,Dodge,Зелений папороть,187,25,2020
1752,AB7332BC,Silverado 1500 Regular Cab,Chrysler,Колір жовтого шкільного автобуса,142,12,1978
1753,RR5170IO,718 Boxster,GMC,Блідо-брунатний,182,39,2017
1754,ET6216TV,Ram Van 1500,Cadillac,Каштановий,191,38,1957
1755,XS7373II,Legacy,Dodge,Сірий,276,14,1963
1756,AO4071IP,UX,MINI,Пшеничний,236,37,1903
1757,BB4170BM,Sonoma Club Coupe Cab,Acura,Темний жовто-брунатний,124,26,1950
1758,TM5870PC,3 Series,Ford,Сигнально-помаранчевий,178,37,1997
1759,RR8675KT,Legacy,Chevrolet,Бронзовий,119,28,1896
1760,AX2821PI,F150 Super Cab,Nissan,Багряний,250,1,1937
1761,RE0622HN,Pilot,MAZDA,Темний індиго,265,44,1948
1762,NO8753ET,CX-7,Subaru,Кобальтовий,253,1,1981
1763,RN7428TP,Challenger,Maserati,Іржавий,124,5,1916
1764,SN6192CB,ATS-V,Nissan,Колір засмаги,210,1,1999
1765,OE4911TX,570GT,Chevrolet,Геліотроп,259,49,1927
1766,MT1590TX,Galant,Buick,Сигнально-помаранчевий,160,17,1954
1767,TA8543PE,500 Abarth,Toyota,Блідо-брунатний,229,16,1990
1768,XO7516IO,Model S,Kia,Блідо-волошковий,182,16,1957
1769,AC3120XE,Savana 2500 Passenger,Nissan,Блідо-каштановий,289,43,1910
1770,KK6099OX,Silverado 2500 HD Crew Cab,GMC,Колір морської піни,140,25,1966
1771,NK5297KK,Titan Crew Cab,Subaru,Блідо-каштановий,110,38,1948
1772,IE1632EN,Town Car,Toyota,Блідо-брунатний,166,16,1919
1773,BS5790CE,Suburban 1500,Toyota,Ясно-лазуровий,165,19,1956
1774,AK7135HC,3 Series,BMW,Кобальтовий,155,28,1902
1775,EM6324BO,Impala Limited,Volkswagen,Фуксія,227,28,1978
1776,EE1579KA,5 Series,Volvo,Зелена сосна,118,42,1961
1777,NT2401MC,Murcielago,Toyota,Темний хакі,114,38,1953
1778,KH1398PI,TT,Toyota,Блакитно-фіолетовий,106,41,1895
1779,MK6248KC,Sequoia,Ford,Рожевий Маунтбеттена,165,25,1958
1780,KI4856KI,Wrangler,Chevrolet,Темно-персиковий,173,33,2003
1781,MM3181AK,Forte,Ford,Персиковий,255,18,1957
1782,MT1317PB,Express 3500 Cargo,Porsche,Кукурудзяний,191,27,1899
1783,XK4710BE,Monte Carlo,Mercedes-Benz,Сапфіровий,109,16,1924
1784,NA5034BT,NV200 Taxi,GMC,Сангрія,172,50,2004
1785,RV3901CE,Avalanche,Ford,Темно-кораловий,211,35,1954
1786,AB3841MC,626,Cadillac,Синій Клейна,149,17,1988
1787,OA5111KC,Silverado 3500 HD Extended Cab,Audi,Ніжно-оливковий,242,46,1934
1788,EO6175EN,GT-R,Saab,Оливковий,247,5,1920
1789,XS3272BA,E-Class,INFINITI,Темно-бірюзовий,120,24,1914
1790,IV4309XC,Silverado 1500 Regular Cab,Rolls-Royce,Зелений папороть,118,4,1944
1791,EM9183BQ,Lumina Passenger,Ford,Темно-зелений,160,28,1896
1792,EK1564BM,Impreza,Dodge,Блакитно-зелений,136,41,1950
1793,XX8447IE,Rondo,Suzuki,Вохра,192,7,1923
1794,MI3117XE,A3,Land Rover,Темно-синій,218,10,1939
1795,KO7425AI,Silverado 3500 HD Crew Cab,Nissan,Багряний,184,39,1898
1796,SS5929PB,Yaris iA,Mercedes-Benz,Орхідея,142,20,1959
1797,MR2582HN,Suburban 2500,Dodge,Темно-зелений,274,24,1973
1798,AC8586BI,62,Audi,Сиваво-зелений,208,16,1922
1799,MT4455CX,Titan Crew Cab,Acura,Орхідея,172,43,1972
1800,MR4232BN,Sprinter 2500 Cargo,Chevrolet,Малахітовий,231,18,2016
1801,KB2419KM,Lumina Passenger,Ram,Чорний,230,21,1933
1802,TK4875TA,UX,Toyota,Зелений папороть,190,4,1975
1803,SE2535XK,F150 SuperCrew Cab,Cadillac,Абрикосовий,268,50,1980
1804,EI4796AA,Town Car,BMW,Салатовий,284,18,1957
1805,NV0747BK,Titan King Cab,GMC,Зелена мʼята,146,19,1899
1806,AX2801XP,Touareg 2,Porsche,Ніжно-рожевий,194,41,2021
1807,NV3941EE,Escalade EXT,Kia,Лазурово-синій,254,23,1998
1808,EX6330KO,9-7X,Ferrari,Блідо-волошковий,254,35,1995
1809,KA9421XX,Expedition,Ford,Жовто-зелений,196,16,1893
1810,OK3845EC,968,GMC,Жовто-зелений,231,8,1989
1811,EK4844KM,XF,Saab,Алізариновий червоний,208,31,1979
1812,EA3182TE,S80,Land Rover,Бірюзовий,184,18,1997
1813,OX3362MM,APV Cargo,Maserati,Колір морської піни,198,15,2013
1814,RE6040PX,Transit Connect Cargo,Ford,Срібний,300,33,1958
1815,AB6316OB,SRX,Mercury,Бурштиновий,285,41,1911
1816,XK3365EC,XC90,Lexus,Нефритовий,192,35,2019
1817,SM3508OT,Savana 3500 Passenger,Oldsmobile,Сіра спаржа,149,45,1950
1818,AX5689MT,88,Ram,Блакитний Брандейса,183,32,2008
1819,ON4570AC,Rogue Sport,INFINITI,Відбірний жовтий,105,18,1967
1820,KH3463II,M5,GMC,Алізариновий червоний,179,11,1891
1821,EN4172CE,Crosstrek,GMC,Червоновато-брунатний,161,24,2021
1822,EA9224BN,Silverado 2500 HD Crew Cab,Dodge,Королівський синій,165,5,1893
1823,ES1424OK,MKX,Land Rover,Паросток папаї,149,40,1918
1824,KE4175XM,Sephia,Volvo,Салатовий,135,41,1964
1825,RX8053OE,CLA,Jeep,Помаранчевий,163,35,1908
1826,NT8954KX,Renegade,Toyota,Геліотроп,136,48,1931
1827,BI7280TA,Grand Marquis,Volkswagen,Шоколадний,238,7,1984
1828,TA3074AN,Cavalier,Ford,Барвінковий,214,47,1968
1829,MO4384KP,Q50,GMC,Кардинал (колір),135,13,1979
1830,XN8310IO,Legacy,Pontiac,Темно-оливковий,253,34,1941
1831,XA0556XB,Crown Victoria,Hyundai,Бежевий,186,14,2006
1832,TM2338HO,Equinox,Plymouth,Лайм,205,49,1991
1833,AC6034AE,Voyager,Land Rover,Колір засмаги,128,50,1983
1834,BB4416PO,Sierra 2500 HD Extended Cab,GMC,Червоновато-брунатний,288,15,1893
1835,XN6929MC,Silverado 3500 HD Regular Cab,Lincoln,Спаржевий,266,12,1949
1836,BI1515TE,Dakota Extended Cab,Chevrolet,Глицінія,237,45,1908
1837,AE2890OT,TT,Toyota,Фіолетовий,237,24,2021
1838,RV6170PO,Elise,Honda,Темний хакі,260,1,2002
1839,NX9668TC,Ram Van 1500,Ford,Рожевий Маунтбеттена,269,20,1917
1840,AN3206IA,Alero,Chrysler,Глицінія,139,41,2009
1841,SS0171TN,S-Class,Nissan,Ціан (колір),109,32,1946
1842,PD3516TA,F350 Super Duty Super Cab,Nissan,Мисливський,188,5,2009
1843,KA4750CN,F150 Super Cab,GMC,Червоний,155,28,2000
1844,IN8818PO,Silhouette,Mitsubishi,Синій ВПС,155,20,2002
1845,MK6429CA,RL,GMC,Червоно-буро-помаранчевий,133,23,1901
1846,XO1843HN,Altima,GMC,Темно-мандариновий,131,39,1899
1847,RE6112ON,S4,Dodge,Пісочний колір,128,45,1947
1848,RV1851XO,C-Class,Porsche,Колір морської хвилі,117,46,1941
1849,TA1577BP,Sprinter 3500 Cargo,Ford,Темно-лососевий,147,42,1952
1850,EM1639TN,Intrepid,Subaru,Темно-мандариновий,146,19,1986
1851,AM3320IM,Leganza,INFINITI,Лососевий,260,25,1957
1852,AX0900OC,DTS,Dodge,Атомний мандаріновий,200,19,1931
1853,DC0398BO,Optima,Audi,Іржавий,205,47,1939
1854,NO3453BA,Crown Victoria,Mercedes-Benz,Синя сталь,119,27,1905
1855,BN3710TK,X6,Ford,Фуксія,115,14,1911
1856,AE0794KO,Enclave,GMC,Сливовий,255,3,1935
1857,XM7510AA,Express 3500 Passenger,Lexus,Темно-каштановий,242,30,1944
1858,NV2328XP,Tracer,Chevrolet,Яскраво-зелений,235,44,2010
1859,SM8433OI,Suburban 1500,Lexus,Темно-мандариновий,152,28,1948
1860,BM6295BC,Aztek,GMC,Темний весняно-зелений,279,24,1967
1861,OO3839HN,Impala,Nissan,Колір морської хвилі,110,20,2019
1862,XM8059MX,Express 2500 Cargo,Nissan,Шкіра буйвола,221,49,2018
1863,TO5413TX,Pilot,Dodge,Золотисто-каштановий,243,45,1920
1864,KH7365XA,5 Series,Lexus,Сіра спаржа,160,42,1935
1865,BM0672BQ,500e,Cadillac,Червоновато-брунатний,149,41,1981
1866,RN8013TI,Town Car,Hyundai,Блідо-пурпуровий,112,36,1930
1867,NM5179CO,57,smart,Шкіра буйвола,200,1,2017
1868,RA6603BT,S4,Mitsubishi,Фіолетово-баклажановий,148,44,2015
1869,XE0801BN,Sierra (Classic) 2500 HD Regular Cab,Dodge,Умбра,238,30,1944
1870,NX9439BT,Escape,Audi,Жовтий,197,32,2013
1871,SE8614KM,RX,GMC,Діамантово-рожевий,284,40,1934
1872,XT4120IE,Z4,Dodge,Паросток папаї,261,34,1899
1873,AN5760IO,Discovery Series II,GMC,Лавандний,173,7,1959
1874,BK1166XP,G5,Bentley,Орхідея,209,8,1894
1875,MI6766PO,Q,Volkswagen,Сірий шифер,197,37,1939
1876,IE5588EK,Frontier King Cab,GMC,Шкіра буйвола,194,48,1993
1877,NO8495EN,Odyssey,Freightliner,Зеленувато-блакитний,233,33,2016
1878,BO9017HO,Blazer,Isuzu,Малахітовий,152,3,1916
1879,MT8346PN,RC,Toyota,Темно-золотий,245,31,1936
1880,BS9717OM,Sportage,Mercury,Лимонно-кремовий,125,42,1908
1881,MV6356MC,Santa Fe,Dodge,Синя пил,128,37,1896
1882,XM7260EM,Silverado 3500 HD Regular Cab,Ford,Мисливський,115,18,1903
1883,BT1419OC,626,Audi,Блаватний,151,11,1988
1884,ES6288BI,1500 Club Coupe,GMC,Синя сталь,291,18,1901
1885,PD5865IA,Yukon XL 1500,Dodge,Шкіра буйвола,153,37,1988
1886,XA2789IT,Ram 2500 Regular Cab,Dodge,Сірий шифер,263,47,1987
1887,NM9761BB,Tacoma Regular Cab,Ford,Темний весняно-зелений,226,49,1932
1888,BN4852IM,Mulsanne,Audi,Лососевий,121,1,1975
1889,NV5180CI,F12berlinetta,Dodge,Блакитний,197,1,1970
1890,KC4147TN,Golf,GMC,Темно-аспідний сірий,173,20,1995
1891,MT0471PC,Club Wagon,Nissan,Темно-кораловий,283,21,2014
1892,ET9136CE,XL-7,MINI,Пшеничний,151,1,1937
1893,NO7703MK,Frontier King Cab,Nissan,Бістр,263,27,2003
1894,IE7853PK,Savana 1500 Cargo,GMC,Орхідея,141,5,1886
1895,IV3492EA,Enclave,Kia,Срібний,236,2,1947
1896,ON3351HP,Corolla,Land Rover,Рожево-ліловий,218,32,1971
1897,DI9708AI,Stealth,Nissan,Зелений чай,157,30,1951
1898,OX7247BI,MX-3,GMC,Блідо-карміновий,106,14,1893
1899,TR0246AM,Santa Fe Sport,INFINITI,Брунато-малиновий,236,34,2005
1900,MH7540OE,Regal,Maserati,Темно-каштановий,140,2,1886
1901,MR5816XN,Sierra 3500 HD Regular Cab,Dodge,Бежевий,116,28,2002
1902,IA2473HA,Frontier Crew Cab,Volkswagen,Золотий,232,20,2015
1903,TT6116XP,3000GT,Toyota,Темний індиго,280,18,1908
1904,OE7802IT,Suburban 2500,Toyota,Зелений чай,284,8,1925
1905,BO6744MK,Savana 3500 Passenger,GMC,Зелена весна,184,17,1951
1906,NN9230OK,GranSport,Hyundai,Аквамариновий,131,29,1905
1907,SN3208CA,Nitro,Dodge,Шафрановий,215,16,1932
1908,AA5469MM,King Cab,Volvo,Темний зелений чай,288,39,1925
1909,BE5425EM,Sierra 1500 Double Cab,Lincoln,Карміновий,162,33,2011
1910,AR1891BB,Vigor,Scion,Помаранчевий,112,20,2006
1911,EI0419BP,Odyssey,MAZDA,Колір засмаги,300,30,1979
1912,NS8783AY,IS,Kia,Ультрамариновий,299,12,1892
1913,XA2532CN,Highlander,Lexus,Карміновий,149,47,2000
1914,NV4438CE,500e,Mercedes-Benz,Лимонний,270,50,1985
1915,MI8064KB,Summit,Hyundai,Гарячо-рожевий,219,47,1894
1916,XO3149XA,Sonoma Regular Cab,Ram,Дерева,186,6,1946
1917,KK8744EB,Cayman,Audi,Персиковий,162,29,1899
1918,ON3145ME,Regal TourX,Toyota,Джинсовий,163,44,1912
1919,BE5715ON,2 Series,Saab,Умбра палена,259,34,1975
1920,ES3281PC,Tiguan,Dodge,Синій (пігмент),191,5,1943
1921,BM9433IN,Stealth,INFINITI,Жовто-персиковий,272,22,1949
1922,OE6534AM,Sierra 1500 Crew Cab,BMW,Зелена сосна,153,18,1931
1923,IA8470BT,323,Honda,Рожевий,116,45,1942
1924,EE4535TB,Silverado 1500 Crew Cab,Acura,Шафрановий,112,25,1947
1925,RX4437IA,Murano,Buick,Червоний,247,14,1959
1926,NM2361HA,Sierra 2500 HD Extended Cab,BMW,Умбра,300,12,1931
1927,MV5215CA,BRZ,Mercedes-Benz,Яскраво-рожевий,108,6,1995
1928,NX7901II,Caprice,Lexus,Блакитно-фіолетовий,280,17,1992
1929,RR6345XP,Sienna,Ford,Зелена мʼята,183,14,2003
1930,NO8087HC,2500 HD Regular Cab,Chevrolet,Яскраво-бурштиновий,153,29,1981
1931,AN6614MT,DBS,Honda,Глибокий фіолетовий,268,2,1933
1932,MI7501PA,Focus,Toyota,Синя пил,286,36,1968
1933,AN3899CM,Gallardo,Dodge,Зелений армійський,202,14,1907
1934,KO5893BH,626,Buick,Чорний,128,15,1945
1935,EA6040XC,Boxster,Toyota,Зеленувато-блакитний,160,28,1951
1936,XA6276CP,Windstar Cargo,GMC,Бістр,213,2,1953
1937,MK0806PX,G,Ford,Ультрамариновий,229,21,1921
1938,NO4431CE,Pilot,Chevrolet,Бурштиновий,105,43,1887
1939,NI2982EO,Soul,INFINITI,Жовто-персиковий,245,45,1994
1940,TI5166PK,F350 Super Duty Regular Cab,Chevrolet,Глибокий фіолетовий,231,7,1966
1941,EN9721AC,911,GMC,Сливовий,182,24,1891
1942,MV6432BK,Concorde,Tesla,Білий,179,33,2016
1943,EN6771IK,Tercel,Volkswagen,Рожево-лавандний,122,11,1943
1944,MV5696CB,MPV,Lexus,Лимонний,214,24,1888
1945,TS9867XN,Armada,Porsche,Зелене море,122,36,1932
1946,BT7436BO,Sierra 2500 Regular Cab,Land Rover,Глибокий фіолетовий,204,45,2007
1947,BS8798PN,Express 3500 Passenger,Volvo,Блідо-брунатний,243,24,1943
1948,BM3825CB,Express 2500 Passenger,Kia,Рожевий Маунтбеттена,299,3,1980
